SPOT_LABEL	CH1_NBC_INT	CH1_SPOT_AREA	CH1_SPOT_BKGD	CH2_NBC_INT	CH2_SPOT_AREA	CH2_SPOT_BKGD
1	0.256	9100	0.117	2.355	9100	1.722
2	0.236	7000	0.128	2.301	7000	1.757
3	0.177	8700	0.13	2.184	8700	1.776
4	0.178	8500	0.137	2.297	8500	1.772
5	0.189	7300	0.145	2.231	7300	1.709
6	0.197	8800	0.122	2.013	8800	1.721
7	0.177	9800	0.127	2.271	9800	1.776
8	0.236	8300	0.139	2.208	8300	1.739
9	0.164	9000	0.151	2.568	9000	1.739
10	0.281	9500	0.157	2.837	9500	1.702
11	4.18	10400	0.148	5.19	10400	1.702
12	0.42	10600	0.148	3.129	10600	1.781
13	4.076	9300	0.159	4.826	9300	1.781
14	0.282	9200	0.142	2.837	9200	1.793
15	13.492	10700	0.136	11.959	10700	1.797
16	1.567	9400	0.146	3.689	9400	1.827
17	0.182	9300	0.162	2.525	9300	1.747
18	6.659	10100	0.133	6.766	10100	1.8
19	1.185	9200	0.173	3.305	9200	1.759
20	0.198	9600	0.191	2.81	9600	1.702
21	0.193	9600	0.169	2.463	9600	1.765
22	10.671	9300	0.202	9.038	9300	1.76
23	0.273	9700	0.195	2.718	9700	1.76
24	1.35	8400	0.193	2.92	8400	1.772
25	1.342	10300	0.272	3.522	10300	1.721
26	0.374	9000	0.245	2.744	9000	1.715
27	0.386	9300	0.215	2.646	9300	1.815
28	0.301	9200	0.223	2.501	9200	1.811
29	0.852	9000	0.18	2.721	9000	1.722
30	0.183	9200	0.157	2.373	9200	1.7
31	0.252	10000	0.164	2.557	10000	1.696
32	0.202	8900	0.138	2.558	8900	1.689
33	1.678	10000	0.148	3.464	10000	1.718
34	0.306	8800	0.152	2.656	8800	1.692
35	3.309	10400	0.136	5.064	10400	1.646
36	0.169	9800	0.15	2.459	9800	1.722
37	0.537	9600	0.149	2.864	9600	1.722
38	3.161	10600	0.147	4.356	10600	1.704
39	1.313	10400	0.181	3.444	10400	1.681
40	1.085	9900	0.201	3.319	9900	1.763
41	0.204	7300	0.136	2.353	7300	1.677
42	0.208	9200	0.127	2.404	9200	1.589
43	9.545	10600	0.129	8.391	10600	1.565
44	0.573	9100	0.11	2.549	9100	1.653
45	4.152	10200	0.116	5.005	10200	1.66
46	0.697	10000	0.135	2.709	10000	1.618
47	0.406	9300	0.138	2.573	9300	1.61
48	0.166	10000	0.128	2.123	10000	1.448
49	0.486	6900	0.147	1.926	6900	1.346
50	0.188	8100	0.132	2.233	8100	1.737
51	0.364	8400	0.119	2.66	8400	1.727
52	0.339	6700	0.139	2.43	6700	1.767
53	0.197	7100	0.139	2.093	7100	1.759
54	0.395	8000	0.137	2.466	8000	1.695
55	0.206	8900	0.12	2.208	8900	1.71
56	0.866	5300	0.124	2.635	5300	1.731
57	2.172	8100	0.141	3.827	8100	1.735
58	0.162	8400	0.147	2.263	8400	1.776
59	0.268	6500	0.158	2.349	6500	1.758
60	0.175	8400	0.116	2.506	8400	1.711
61	0.179	8600	0.113	2.257	8600	1.723
62	0.222	7400	0.145	2.179	7400	1.738
63	8.166	9600	0.138	7.473	9600	1.728
64	2.052	8600	0.136	3.478	8600	1.745
65	2.582	9900	0.137	3.996	9900	1.756
66	0.187	9400	0.143	2.622	9400	1.748
67	0.315	10200	0.152	2.713	10200	1.788
68	0.47	9400	0.189	2.651	9400	1.704
69	44.294	10500	0.213	30.239	10500	1.679
70	0.182	8000	0.222	2.187	8000	1.793
71	0.426	10300	0.255	2.649	10300	1.846
72	0.476	8200	0.29	2.526	8200	1.811
73	0.515	9000	0.286	2.593	9000	1.788
74	0.632	9200	0.327	2.435	9200	1.766
75	0.342	9100	0.325	2.423	9100	1.748
76	0.855	8000	0.283	2.583	8000	1.826
77	0.438	9800	0.289	2.531	9800	1.836
78	1.002	9200	0.3	2.938	9200	1.726
79	0.318	9800	0.201	2.429	9800	1.692
80	1.626	10000	0.177	3.168	10000	1.692
81	0.424	10600	0.245	2.102	10600	1.711
82	0.162	8000	0.174	2.053	8000	1.709
83	4.978	9700	0.162	5.509	9700	1.73
84	1.933	10000	0.145	3.505	10000	1.668
85	0.59	9100	0.157	2.624	9100	1.641
86	0.538	9200	0.175	2.633	9200	1.708
87	0.18	10200	0.142	2.334	10200	1.729
88	0.519	7500	0.142	2.497	7500	1.751
89	0.185	9000	0.143	1.943	9000	1.764
90	0.351	5500	0.152	2.202	5500	1.677
91	0.752	4000	0.138	2.311	4000	1.625
92	0.183	8600	0.125	1.775	8600	1.596
93	0.19	9300	0.119	1.74	9300	1.638
94	0.181	9700	0.126	1.704	9700	1.638
95	0.17	8000	0.139	1.611	8000	1.541
96	0.182	7800	0.138	1.805	7800	1.493
97	0.173	10700	0.138	2.019	10700	1.344
98	0.188	10300	0.146	1.871	10300	1.166
99	1.007	10400	0.164	3.135	10400	1.696
100	0.168	9400	0.159	2.529	9400	1.672
101	0.143	10400	0.142	2.557	10400	1.756
102	0.157	9400	0.142	2.556	9400	1.788
103	0.17	9300	0.125	2.564	9300	1.694
104	0.159	10100	0.115	2.586	10100	1.692
105	0.703	9800	0.12	2.783	9800	1.708
106	0.162	10400	0.136	2.415	10400	1.724
107	0.158	9800	0.129	2.594	9800	1.797
108	1.452	10400	0.135	3.285	10400	1.761
109	0.173	8700	0.141	2.328	8700	1.744
110	0.188	9700	0.125	2.567	9700	1.727
111	0.165	10000	0.125	2.309	10000	1.715
112	1.637	10200	0.138	3.386	10200	1.71
113	0.177	8800	0.146	2.234	8800	1.702
114	15.718	10400	0.139	11.94	10400	1.717
115	0.313	8900	0.148	2.214	8900	1.746
116	2.119	9300	0.153	3.621	9300	1.699
117	0.424	8300	0.143	2.368	8300	1.683
118	1.547	9600	0.202	3.19	9600	1.7
119	0.756	9700	0.202	2.6	9700	1.728
120	0.315	8300	0.229	2.216	8300	1.836
121	0.422	9600	0.279	2.294	9600	1.816
122	0.388	7900	0.279	2.143	7900	1.766
