SPOT_LABEL	CLONE_ID	SOURCE_CLONE_ID	ORIGIN
1	217789	CATMA3a18700	BERLIN
2	217813	CATMA3a18730	BERLIN
3	217802	CATMA3a18790	BERLIN
4	217838	CATMA3a18820	BERLIN
5	217837	CATMA3a18750	BERLIN
6	217861	CATMA3a18770	BERLIN
7	217862	CATMA3a18840	BERLIN
8	217791	CATMA3a18860	BERLIN
9	210496	CATMA2a31440	MADRID
10	210520	CATMA2a31460	MADRID
11	210509	CATMA2a31570	MADRID
12	210545	CATMA2a31590	MADRID
13	210544	CATMA2a31475	MADRID
14	210485	CATMA2a31520	MADRID
15	210569	CATMA2a31610	MADRID
16	210498	CATMA2a31630	MADRID
17	232870	CATMA5a20360	BERLIN
18	232894	CATMA5a20375	BERLIN
19	232871	CATMA5a20440	BERLIN
20	232895	CATMA5a20470	BERLIN
21	232918	CATMA5a20400	BERLIN
22	232942	CATMA5a20420	BERLIN
23	232919	CATMA5a20490	BERLIN
24	232943	CATMA5a20530	BERLIN
25	233148	CATMA5a40320	UK(HRI)
26	233172	CATMA5a40340	UK(HRI)
27	233233	CATMA5a43920	UTRECHT
28	233293	CATMA5a43970	UTRECHT
29	233196	CATMA5a40380	UK(HRI)
30	233220	CATMA5a40430	UK(HRI)
31	233234	CATMA5a44020	UTRECHT
32	233258	CATMA5a44040	UTRECHT
33	210885	CATMA3a00590	UK(HRI)
34	210909	CATMA3a00610	UK(HRI)
35	210886	CATMA3a00680	UK(HRI)
36	210910	CATMA3a00700	UK(HRI)
37	210933	CATMA3a00640	UK(HRI)
38	210957	CATMA3a00660	UK(HRI)
39	210934	CATMA3a00730	UK(HRI)
40	210958	CATMA3a00750	UK(HRI)
41	211176	CATMA4a23180	MADRID
42	211200	CATMA4a23200	MADRID
43	211273	CATMA4a26520	FR(INRA)
44	211297	CATMA4a26540	FR(INRA)
45	211224	CATMA4a23220	MADRID
46	211249	CATMA4a26500	FR(INRA)
47	211321	CATMA4a26560	FR(INRA)
48	211250	CATMA4a26580	FR(INRA)
49	210182	CATMA2a06960	BERLIN
50	210111	CATMA2a07030	BERLIN
51	210100	CATMA2a07100	BERLIN
52	210136	CATMA2a07170	BERLIN
53	210135	CATMA2a07050	BERLIN
54	210171	CATMA2a07080	BERLIN
55	210160	CATMA2a07190	BERLIN
56	210184	CATMA2a07240	BERLIN
57	210457	CATMA2a26260	LAUSANNE
58	210386	CATMA2a26280	LAUSANNE
59	210458	CATMA2a26360	LAUSANNE
60	210387	CATMA2a26373	LAUSANNE
61	210410	CATMA2a26320	LAUSANNE
62	210434	CATMA2a26340	LAUSANNE
63	210411	CATMA2a26390	LAUSANNE
64	210435	CATMA2a26460	LAUSANNE
65	211538	CATMA3a13090	MADRID
66	211574	CATMA3a13130	MADRID
67	211551	CATMA3a13210	MADRID
68	211575	CATMA3a13230	MADRID
69	211598	CATMA3a13145	MADRID
70	211622	CATMA3a13170	MADRID
71	211599	CATMA3a13250	MADRID
72	211540	CATMA3a13276	MADRID
73	211898	CATMA3a27220	BERLIN
74	211827	CATMA3a27250	BERLIN
75	211899	CATMA3a27340	BERLIN
76	211828	CATMA3a27390	BERLIN
77	211851	CATMA3a27280	BERLIN
78	211875	CATMA3a27295	BERLIN
79	211852	CATMA3a27410	BERLIN
80	211876	CATMA3a27425	BERLIN
81	210832	CATMA2a46350	BERLIN
82	210856	CATMA2a46390	BERLIN
83	210845	CATMA2a46480	BERLIN
84	210786	CATMA2a46510	BERLIN
85	210785	CATMA2a46410	BERLIN
86	210821	CATMA2a46460	BERLIN
87	210810	CATMA2a46540	BERLIN
88	210834	CATMA4a00030	BERLIN
89	211519	CATMA4a35810	BERLIN
90	211448	CATMA4a35825	BERLIN
91	211520	CATMA4a35890	BERLIN
92	211449	CATMA4a35910	BERLIN
93	211472	CATMA4a35840	BERLIN
94	211496	CATMA4a35850	BERLIN
95	211473	CATMA4a35950	BERLIN
96	211497	CATMA4a35970	BERLIN
97	212333	CATMA4a04400	LAUSANNE
98	212357	CATMA4a04440	LAUSANNE
99	212334	CATMA4a04750	LAUSANNE
100	212358	CATMA4a04770	LAUSANNE
101	212381	CATMA4a04520	LAUSANNE
102	212310	CATMA4a04710	LAUSANNE
103	212382	CATMA4a04860	LAUSANNE
104	212311	CATMA4a04900	LAUSANNE
105	212551	CATMA4a31130	UTRECHT
106	212575	CATMA4a31160	UTRECHT
107	212588	CATMA4a31280	UTRECHT
108	212517	CATMA4a31300	UTRECHT
109	212516	CATMA4a31200	UTRECHT
110	212540	CATMA4a31240	UTRECHT
111	212541	CATMA4a31320	UTRECHT
112	212565	CATMA4a31350	UTRECHT
113	211929	CATMA3a38160	UK(HRI)
114	211953	CATMA3a38175	UK(HRI)
115	211930	CATMA3a38240	UK(HRI)
116	211954	CATMA3a38270	UK(HRI)
117	211977	CATMA3a38190	UK(HRI)
118	212001	CATMA3a38220	UK(HRI)
119	211978	CATMA3a38310	UK(HRI)
120	212002	CATMA3a38350	UK(HRI)
121	212243	CATMA3a52600	MADRID
122	212267	CATMA3a52620	MADRID
123	212244	CATMA3a52680	MADRID
124	212268	CATMA3a52700	MADRID
125	212291	CATMA3a52640	MADRID
126	212220	CATMA3a52660	MADRID
127	212292	CATMA3a52720	MADRID
128	212593	CATMA3a00120	FR(INRA)
129	213153	CATMA1a19085	FR(INRA)
130	213082	CATMA1a19100	FR(INRA)
131	213154	CATMA1a19170	FR(INRA)
132	213083	CATMA1a19190	FR(INRA)
133	213106	CATMA1a19120	FR(INRA)
134	213130	CATMA1a19140	FR(INRA)
135	213107	CATMA1a19210	FR(INRA)
136	213143	CATMA1a19250	FR(INRA)
137	213576	CATMA1a47920	UTRECHT
138	213612	CATMA1a47960	UTRECHT
139	213913	CATMA1a61670	FR(INRA)
140	213842	CATMA1a61690	FR(INRA)
141	213853	CATMA1a61610	FR(INRA)
142	213877	CATMA1a61630	FR(INRA)
143	213866	CATMA1a61710	FR(INRA)
144	213890	CATMA1a61730	FR(INRA)
145	212736	CATMA1a01900	UK(HRI)
146	212760	CATMA1a01920	UK(HRI)
147	212821	CATMA1a05290	UTRECHT
148	212845	CATMA1a05310	UTRECHT
149	212784	CATMA1a01940	UK(HRI)
150	212797	CATMA1a05270	UTRECHT
151	212869	CATMA1a05330	UTRECHT
152	212798	CATMA1a05370	UTRECHT
153	213205	CATMA1a23100	MAF
154	213241	CATMA1a23160	MAF
155	213218	CATMA1a23220	MAF
156	213242	CATMA1a23250	MAF
157	213170	CATMA1a23170	MAF
158	213194	CATMA1a23200	MAF
159	213171	CATMA1a23270	MAF
160	213195	CATMA1a23290	MAF
161	214334	CATMA5a11740	MADRID
162	214358	CATMA5a11760	MADRID
163	214335	CATMA5a11820	MADRID
164	214359	CATMA5a11840	MADRID
165	214382	CATMA5a11780	MADRID
166	214406	CATMA5a11800	MADRID
167	214383	CATMA5a11860	MADRID
168	214407	CATMA5a11880	MADRID
169	214791	CATMA5a35870	UK(HRI)
170	214720	CATMA5a35910	UK(HRI)
171	214709	CATMA5a36020	UK(HRI)
172	214733	CATMA5a36040	UK(HRI)
173	214744	CATMA5a35950	UK(HRI)
174	214768	CATMA5a36000	UK(HRI)
175	214757	CATMA5a36060	UK(HRI)
176	214781	CATMA5a36080	UK(HRI)
177	213494	CATMA1a41730	UK(HRI)
178	213518	CATMA1a41750	UK(HRI)
179	213495	CATMA1a41910	UK(HRI)
180	213519	CATMA1a41930	UK(HRI)
181	213542	CATMA1a41770	UK(HRI)
182	213471	CATMA1a41790	UK(HRI)
183	213543	CATMA1a41950	UK(HRI)
184	213472	CATMA1a41970	UK(HRI)
185	213772	CATMA1a57690	MADRID
186	213796	CATMA1a57710	MADRID
187	213785	CATMA1a57770	MADRID
188	213809	CATMA1a57790	MADRID
189	213832	CATMA1a57740	MADRID
190	213761	CATMA1a57755	MADRID
191	213833	CATMA1a57810	MADRID
192	213762	CATMA1a57830	MADRID
193	214938	CATMA5a45500	LAUSANNE
194	214962	CATMA5a45520	LAUSANNE
195	214939	CATMA5a45580	LAUSANNE
196	214963	CATMA5a45600	LAUSANNE
197	214986	CATMA5a45540	LAUSANNE
198	214915	CATMA5a45560	LAUSANNE
199	214987	CATMA5a45620	LAUSANNE
200	214916	CATMA5a45630	LAUSANNE
201	216345	CATMA2a18000	UK(HRI)
202	216369	CATMA2a18025	UK(HRI)
203	216370	CATMA2a18090	UK(HRI)
204	216418	CATMA2a18140	UK(HRI)
205	216393	CATMA2a18040	UK(HRI)
206	216429	CATMA2a18070	UK(HRI)
207	216371	CATMA2a18180	UK(HRI)
208	216407	CATMA2a18220	UK(HRI)
209	214216	CATMA5a03390	UTRECHT
210	214145	CATMA5a03410	UTRECHT
211	214134	CATMA5a03490	UTRECHT
212	214158	CATMA5a03510	UTRECHT
213	214169	CATMA5a03430	UTRECHT
214	214205	CATMA5a03470	UTRECHT
215	214182	CATMA5a03530	UTRECHT
216	214218	CATMA5a03560	UTRECHT
217	214422	CATMA5a16550	BERLIN
218	214458	CATMA5a16570	BERLIN
219	214435	CATMA5a16660	BERLIN
220	214459	CATMA5a16690	BERLIN
221	214482	CATMA5a16600	BERLIN
222	214506	CATMA5a16630	BERLIN
223	214483	CATMA5a16720	BERLIN
224	214507	CATMA5a16740	BERLIN
225	216960	CATMA4a01750	BERLIN
226	216984	CATMA4a01770	BERLIN
227	217045	CATMA3a00980	UK(HRI)
228	217069	CATMA3a01010	UK(HRI)
229	217008	CATMA4a01790	BERLIN
230	217021	CATMA3a00960	UK(HRI)
231	217093	CATMA3a01030	UK(HRI)
232	217022	CATMA3a01040	UK(HRI)
233	217323	CATMA4a23450	MADRID
234	217347	CATMA4a23470	MADRID
235	217324	CATMA4a23540	MADRID
236	217348	CATMA4a23560	MADRID
237	217371	CATMA4a23490	MADRID
238	217300	CATMA4a23520	MADRID
239	217372	CATMA4a23580	MADRID
240	217301	CATMA4a23620	MADRID
241	215034	CATMA5a50050	MADRID
242	215070	CATMA5a50073	MADRID
243	215047	CATMA5a50120	MADRID
244	215000	CATMA5a50138	MADRID
245	214999	CATMA5a50080	MADRID
246	215023	CATMA5a50100	MADRID
247	215024	CATMA5a50144	MADRID
248	215048	CATMA5a50150	MADRID
249	216153	CATMA2a02390	MAF
250	216189	CATMA2a02420	MAF
251	216190	CATMA2a02540	MAF
252	216214	CATMA2a02570	MAF
253	216213	CATMA2a02440	MAF
254	216166	CATMA2a02510	MAF
255	216238	CATMA2a02585	MAF
256	216167	CATMA2a02600	MAF
257	217540	CATMA3a10150	LAUSANNE
258	217564	CATMA3a10180	LAUSANNE
259	217541	CATMA3a10240	LAUSANNE
260	217565	CATMA3a10260	LAUSANNE
261	217493	CATMA3a10200	LAUSANNE
262	217517	CATMA3a10210	LAUSANNE
263	217494	CATMA3a10280	LAUSANNE
264	217518	CATMA3a10320	LAUSANNE
